"CCSS.Math.Content","http://asn.jesandco.org/resources/S1143417","Count to 100 by ones and by tens.",""
"CCSS.Math.Content","http://asn.jesandco.org/resources/S1143419","Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).","Numbers,Writing_system,Numeral_system,Grammatical_number,Natural_number,Number"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114341A","Understand the relationship between numbers and quantities; connect counting to cardinality.","Finite_set"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S1143418","Count forward beginning from a given number within the known sequence (instead of having to begin at 1).","Natural_number"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114341B","Count to answer ""how many?"" questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1ï¿½ï¿½ï¿½20, count out that many objects.",""
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114341E","Represent addition and subtraction with objects, fingers, mental images, drawings, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations.",""
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114341F","Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem.","Mathematics,Negative_and_non-negative_numbers,Integer,Elementary_arithmetic,Plus_and_minus_signs,Addition,Problem_solving,Subtraction"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114341C","Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.","Equals_sign,Natural_number,Binary_relation,Inequality,Equality"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S1143420","Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1).",""
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114341D","Compare two numbers between 1 and 10 presented as written numerals.","Number"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S1143421","For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation.",""
"CCSS.Math.Content","http://asn.jesandco.org/resources/S1143422","Fluently add and subtract within 5.",""
"CCSS.Math.Content","http://asn.jesandco.org/resources/S1143438","Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.","Elementary_arithmetic,Real_number,Integer,Plus_and_minus_signs,Subtraction,Problem_solving,Addition"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S1143439","Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.","Real_number,Addition,Plus_and_minus_signs,Problem_solving"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S1143453","Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.","Elementary_arithmetic,Real_number,Integer,Plus_and_minus_signs,Subtraction,Problem_solving,Addition"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114343A","Apply properties of operations as strategies to add and subtract.",""
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114343B","Understand subtraction as an unknown-addend problem.","Mathematics"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114343C","Relate counting to addition and subtraction (e.g., by counting on 2 to add 2).","Elementary_arithmetic"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114343D","Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 - 4 = 13 - 3 - 1 = 10 - 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 - 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13).","Negative_and_non-negative_numbers,Arithmetic,Integer,Plus_and_minus_signs,Subtraction,Elementary_arithmetic,Addition"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S1143454","Fluently add and subtract within 20 using mental strategies. By end of Grade 2, know from memory all sums of two one-digit numbers.","Addition"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114343E","Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false.","Equals_sign,Negative_and_non-negative_numbers,Elementary_arithmetic,Addition,Integer,Subtraction,Meaning_of_life,Plus_and_minus_signs"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114343F","Determine the unknown whole number in an addition or subtraction equation relating three whole numbers.","Real_number,Negative_and_non-negative_numbers,Natural_number,Addition,Integer,Subtraction"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S1143456","Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.","Binary_relation,Arithmetic,Addition,Real_number"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S1143455","Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends.","Finger_counting,Mathematical_notation,Elementary_arithmetic,Natural_number,Arithmetic"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S1143477","Interpret products of whole numbers, e.g., interpret 5 ï¿½ï¿½ 7 as the total number of objects in 5 groups of 7 objects each.","Numbers,Grammatical_number,Number,Natural_number,Real_number"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S1143478","Interpret whole-number quotients of whole numbers, e.g., interpret 56 ï¿½ï¿½ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each.","Numbers,Grammatical_number,Number"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S1143479","Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.","Elementary_arithmetic,Mathematics,Problem_solving"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114347B","Apply properties of operations as strategies to multiply and divide.","Karatsuba_algorithm"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114347A","Determine the unknown whole number in a multiplication or division equation relating three whole numbers.","Real_number,Multiplication,Integer,Division,Natural_number"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114347C","Understand division as an unknown-factor problem.","Mathematics"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114347D","Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 ï¿½ï¿½ 5 = 40, one knows 40 ï¿½ï¿½ 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers.","Matrix,Elementary_arithmetic,Division,Multiplication"
"CCSS.Math.Content","http://asn.jesandco.org/resources/S114347E","Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.","Problem_solving,The_Great_Unknown"
